what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1397100639843
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1397100639843
java.version,sysinfo,,,"1.6.0_23",1397100639843
java.vm.info,sysinfo,,,"mixed mode",1397100639843
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1397100639843
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1397100639843
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1397100639843
java.vm.specification.version,sysinfo,,,"1.0",1397100639843
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1397100639843
java.vm.version,sysinfo,,,"19.0-b09",1397100639843
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1397100639890
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1397100640312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100643744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100666241
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397100667424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1397100668345
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1397100668522
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1397100668542
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1397100668571
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1397100668609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100668636
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1397100668975
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1397100669042
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1397100669043
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1397100669045
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1397100669046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100670835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100671468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100671531
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1397100682740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100684766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100691280
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1397100696351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100696631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100701361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100706213
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1397100707917
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1397100707925
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397100708027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100737867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1397100737887
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1397100739724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100740016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100762680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100764223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100781254
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397100782284
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1397100783521
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1397100783526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100784355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397100786241
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1397100787042
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1397100787063
