what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1403264913429
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1403264913429
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1403264913429
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1403264913430
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1403264913430
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1403264913431
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1403264913431
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1403264913431
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1403264913431
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1403264913432
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1403264913432
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1403264913432
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1403264913433
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1403264913433
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1403264913434
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1403264913434
started,bundle,com.altera.sbtgui.core,13.1.0.182,"com.altera.sbtgui.core",1403264913434
started,bundle,com.altera.sbtgui.integration,13.1.0.182,"com.altera.sbtgui.integration",1403264913435
started,bundle,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch",1403264913435
started,bundle,com.altera.sbtgui.project,13.1.0.182,"com.altera.sbtgui.project",1403264913436
started,bundle,com.altera.systemconsole,13.1.0.182,"com.altera.systemconsole",1403264913436
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.182,"com.altera.systemconsole.designs.plugin",1403264913436
started,bundle,com.altera.utilities,13.1.0.182,"com.altera.utilities",1403264913436
os,sysinfo,,,"win32",1403264913438
arch,sysinfo,,,"x86",1403264913438
ws,sysinfo,,,"win32",1403264913438
locale,sysinfo,,,"zh_TW",1403264913438
processors,sysinfo,,,"8",1403264913438
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1403264913438
